"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","22,029","00:00:56.975","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,030","00:00:56.977","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 22","..p...."""
"USB-to-CAN V2 compact  CAN-1","22,031","00:00:56.985","  E   "," 8FE6E0B","8","48 07 42 07 44 07 44 07","H.B.D.D."
"USB-to-CAN V2 compact  CAN-1","22,032","00:00:56.985","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,033","00:00:56.986","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,034","00:00:56.986","  E   ","18FE5127","8","7C FF FF FF FF FF FF FF","|......."
"USB-to-CAN V2 compact  CAN-1","22,035","00:00:56.987","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 33","..p....3"
"USB-to-CAN V2 compact  CAN-1","22,036","00:00:56.987","  E   ","18FEDF00","8","7D FF FF FF FF FF FF FF","}......."
"USB-to-CAN V2 compact  CAN-1","22,037","00:00:56.988","  E   ","18FEDFEF","8","7D FF FF FF 7D FF FF FF","}...}..."
"USB-to-CAN V2 compact  CAN-1","22,038","00:00:56.989","  E   ","18FF20EF","8","FA 70 00 0C 70 EF FF 4B",".p..p..K"
"USB-to-CAN V2 compact  CAN-1","22,039","00:00:56.995","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,040","00:00:56.995","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,041","00:00:56.996","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,042","00:00:56.997","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 44","..p....D"
"USB-to-CAN V2 compact  CAN-1","22,043","00:00:57.003","  E   "," C00000B","8","30 FF FF FA FF FF FF 41","0......A"
"USB-to-CAN V2 compact  CAN-1","22,044","00:00:57.005","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,045","00:00:57.005","  E   "," 8FE6E0B","8","3E 07 3E 07 32 07 3A 07",">.>.2.:."
"USB-to-CAN V2 compact  CAN-1","22,046","00:00:57.006","  E   ","18FEBF0B","8","3E 07 7D 7D 7D 7D FF FF",">.}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,047","00:00:57.007","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 55","..p....U"
"USB-to-CAN V2 compact  CAN-1","22,048","00:00:57.007","  E   ","18F0010B","8","40 00 F3 FF FF 01 FF F3","@......."
"USB-to-CAN V2 compact  CAN-1","22,049","00:00:57.009","  E   ","18FE4F0B","8","FF FF FF FF FF FF FF FF","........"
